           0.00,           0.00,           0.00
           0.00,           0.00,           0.31
           0.01,           0.00,           0.61
           0.03,           0.00,           0.91
           0.05,           0.00,           1.20
           0.08,           0.00,           1.48
           0.11,           0.00,           1.76
           0.15,           0.00,           2.03
           0.20,          -0.01,           2.30
           0.25,          -0.01,           2.56
           0.30,          -0.01,           2.81
           0.36,          -0.02,           3.06
           0.43,          -0.02,           3.30
           0.50,          -0.02,           3.54
           0.58,          -0.03,           3.77
           0.66,          -0.04,           3.99
           0.74,          -0.05,           4.21
           0.83,          -0.06,           4.43
           0.92,          -0.07,           4.64
           1.02,          -0.08,           4.84
           1.12,          -0.09,           5.04
           1.23,          -0.10,           5.23
           1.33,          -0.12,           5.42
           1.45,          -0.14,           5.60
           1.56,          -0.16,           5.78
           1.68,          -0.18,           5.95
           1.80,          -0.20,           6.12
           1.93,          -0.22,           6.29
           2.06,          -0.25,           6.45
           2.19,          -0.28,           6.60
           2.32,          -0.31,           6.75
           2.45,          -0.34,           6.90
           2.59,          -0.37,           7.04
           2.73,          -0.41,           7.17
           2.87,          -0.44,           7.31
           3.02,          -0.48,           7.43
           3.16,          -0.53,           7.56
           3.31,          -0.57,           7.68
           3.46,          -0.62,           7.79
           3.61,          -0.67,           7.91
           3.76,          -0.72,           8.02
           3.91,          -0.78,           8.12
           4.07,          -0.84,           8.22
           4.22,          -0.90,           8.32
           4.38,          -0.96,           8.41
           4.53,          -1.03,           8.50
           4.69,          -1.10,           8.59
           4.84,          -1.17,           8.67
           5.00,          -1.25,           8.75
           5.00,          -1.25,           8.75
           5.16,          -1.33,           8.83
           5.31,          -1.41,           8.90
           5.47,          -1.50,           8.97
           5.62,          -1.59,           9.04
           5.78,          -1.68,           9.10
           5.93,          -1.78,           9.16
           6.09,          -1.88,           9.22
           6.24,          -1.98,           9.28
           6.39,          -2.09,           9.33
           6.54,          -2.21,           9.38
           6.69,          -2.32,           9.43
           6.84,          -2.44,           9.47
           6.98,          -2.57,           9.52
           7.13,          -2.69,           9.56
           7.27,          -2.83,           9.59
           7.41,          -2.96,           9.63
           7.55,          -3.10,           9.66
           7.68,          -3.25,           9.69
           7.81,          -3.40,           9.72
           7.94,          -3.55,           9.75
           8.07,          -3.71,           9.78
           8.20,          -3.88,           9.80
           8.32,          -4.05,           9.82
           8.44,          -4.22,           9.84
           8.55,          -4.40,           9.86
           8.67,          -4.58,           9.88
           8.77,          -4.77,           9.90
           8.88,          -4.96,           9.91
           8.98,          -5.16,           9.92
           9.08,          -5.36,           9.93
           9.17,          -5.57,           9.94
           9.26,          -5.79,           9.95
           9.34,          -6.01,           9.96
           9.42,          -6.23,           9.97
           9.50,          -6.46,           9.98
           9.57,          -6.70,           9.98
           9.64,          -6.94,           9.98
           9.70,          -7.19,           9.99
           9.75,          -7.44,           9.99
           9.80,          -7.70,           9.99
           9.85,          -7.97,          10.00
           9.89,          -8.24,          10.00
           9.92,          -8.52,          10.00
           9.95,          -8.80,          10.00
           9.97,          -9.09,          10.00
           9.99,          -9.39,          10.00
          10.00,          -9.69,          10.00
          10.00,         -10.00,          10.00
           0.00,           0.00,           0.00
           0.00,           0.00,           0.31
           0.01,           0.00,           0.61
           0.03,           0.00,           0.91
           0.05,           0.00,           1.20
           0.08,          -0.01,           1.48
           0.12,          -0.01,           1.76
           0.16,          -0.01,           2.03
           0.21,          -0.02,           2.30
           0.26,          -0.02,           2.55
           0.32,          -0.03,           2.81
           0.39,          -0.04,           3.05
           0.46,          -0.04,           3.30
           0.53,          -0.05,           3.53
           0.61,          -0.06,           3.76
           0.69,          -0.07,           3.98
           0.78,          -0.09,           4.20
           0.88,          -0.10,           4.41
           0.97,          -0.11,           4.62
           1.08,          -0.13,           4.82
           1.18,          -0.15,           5.02
           1.29,          -0.17,           5.21
           1.40,          -0.19,           5.39
           1.52,          -0.21,           5.57
           1.64,          -0.23,           5.75
           1.77,          -0.26,           5.92
           1.89,          -0.28,           6.08
           2.02,          -0.31,           6.24
           2.15,          -0.34,           6.39
           2.29,          -0.37,           6.54
           2.43,          -0.41,           6.69
           2.57,          -0.44,           6.83
           2.71,          -0.48,           6.96
           2.85,          -0.52,           7.09
           3.00,          -0.57,           7.22
           3.15,          -0.61,           7.34
           3.30,          -0.66,           7.46
           3.45,          -0.71,           7.57
           3.60,          -0.76,           7.68
           3.76,          -0.81,           7.78
           3.91,          -0.87,           7.88
           4.07,          -0.93,           7.98
           4.23,          -0.99,           8.07
           4.39,          -1.06,           8.16
           4.54,          -1.13,           8.24
           4.70,          -1.20,           8.32
           4.86,          -1.27,           8.40
           5.02,          -1.35,           8.47
           5.18,          -1.43,           8.54
