           0.00,           0.00
           0.17,           0.00
           0.34,          -0.01
           0.51,          -0.03
           0.68,          -0.05
           0.84,          -0.07
           1.01,          -0.10
           1.17,          -0.14
           1.33,          -0.18
           1.49,          -0.23
           1.64,          -0.28
           1.79,          -0.33
           1.95,          -0.39
           2.09,          -0.46
           2.24,          -0.53
           2.38,          -0.60
           2.52,          -0.68
           2.66,          -0.77
           2.79,          -0.86
           2.93,          -0.95
           3.05,          -1.04
           3.18,          -1.14
           3.30,          -1.25
           3.42,          -1.36
           3.53,          -1.47
           3.64,          -1.58
           3.75,          -1.70
           3.85,          -1.82
           3.95,          -1.95
           4.05,          -2.07
           4.14,          -2.21
           4.23,          -2.34
           4.31,          -2.48
           4.39,          -2.62
           4.47,          -2.76
           4.53,          -2.91
           4.60,          -3.06
           4.66,          -3.21
           4.72,          -3.36
           4.77,          -3.51
           4.81,          -3.67
           4.85,          -3.83
           4.89,          -3.99
           4.92,          -4.16
           4.95,          -4.32
           4.96,          -4.49
           4.98,          -4.66
           4.99,          -4.83
           4.99,          -5.00
           0.00,           0.10
           0.18,           0.10
           0.35,           0.09
           0.52,           0.08
           0.69,           0.06
           0.86,           0.03
           1.03,           0.00
           1.19,          -0.04
           1.36,          -0.08
           1.52,          -0.13
           1.68,          -0.18
           1.83,          -0.24
           1.99,          -0.30
           2.14,          -0.37
           2.29,          -0.44
           2.43,          -0.51
           2.57,          -0.60
           2.71,          -0.68
           2.85,          -0.77
           2.99,          -0.86
           3.12,          -0.96
           3.24,          -1.06
           3.37,          -1.17
           3.49,          -1.28
           3.61,          -1.39
           3.72,          -1.51
           3.83,          -1.63
           3.93,          -1.76
           4.04,          -1.88
           4.13,          -2.01
           4.23,          -2.15
           4.32,          -2.29
           4.40,          -2.43
           4.48,          -2.57
           4.56,          -2.72
           4.63,          -2.86
           4.70,          -3.01
           4.76,          -3.17
           4.81,          -3.32
           4.87,          -3.48
           4.91,          -3.64
           4.96,          -3.81
           4.99,          -3.97
           5.02,          -4.14
           5.05,          -4.31
           5.07,          -4.48
           5.08,          -4.65
           5.09,          -4.82
           5.09,          -5.00
           0.00,           0.21
           0.18,           0.20
           0.36,           0.19
           0.53,           0.18
           0.71,           0.16
           0.88,           0.13
           1.05,           0.10
           1.22,           0.06
           1.38,           0.02
           1.55,          -0.03
           1.71,          -0.08
           1.87,          -0.14
           2.03,          -0.20
           2.18,          -0.27
           2.33,          -0.35
           2.48,          -0.42
           2.63,          -0.51
           2.77,          -0.59
           2.91,          -0.68
           3.05,          -0.78
           3.18,          -0.88
           3.31,          -0.98
           3.44,          -1.09
           3.56,          -1.20
           3.68,          -1.32
           3.79,          -1.44
           3.91,          -1.56
           4.01,          -1.69
           4.12,          -1.82
           4.22,          -1.95
           4.31,          -2.09
           4.40,          -2.23
           4.49,          -2.37
           4.57,          -2.52
           4.65,          -2.67
           4.72,          -2.82
           4.79,          -2.97
           4.85,          -3.13
           4.91,          -3.29
           4.97,          -3.45
           5.01,          -3.62
           5.06,          -3.78
           5.09,          -3.95
           5.13,          -4.12
           5.15,          -4.29
           5.17,          -4.47
           5.19,          -4.64
           5.20,          -4.82
           5.20,          -5.00
           0.00,           0.31
           0.18,           0.31
           0.36,           0.30
           0.54,           0.28
           0.72,           0.26
           0.90,           0.23
           1.07,           0.20
           1.24,           0.16
           1.41,           0.12
           1.58,           0.07
           1.74,           0.02
           1.91,          -0.04
           2.07,          -0.11
           2.22,          -0.18
           2.38,          -0.25
           2.53,          -0.33
           2.68,          -0.42
           2.82,          -0.51
           2.97,          -0.60
           3.11,          -0.70
           3.24,          -0.80
           3.38,          -0.90
           3.50,          -1.01
           3.63,          -1.13
           3.75,          -1.25
           3.87,          -1.37
           3.98,          -1.50
           4.09,          -1.62
           4.20,          -1.76
           4.30,          -1.89
           4.40,          -2.03
           4.49,          -2.18
           4.58,          -2.32
           4.66,          -2.47
           4.74,          -2.62
           4.82,          -2.78
           4.89,          -2.93
           4.95,          -3.09
           5.01,          -3.26
           5.07,          -3.42
           5.11,          -3.59
           5.16,          -3.76
           5.20,          -3.93
